X,Y,FID,OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,LEVEL_,ENROLLMENT,START_GRAD,END_GRADE,FT_TEACHER,SHELTER_ID
-8136078.0189,5055505.9896,1,1201,A0507274,A CHILD'S GARDEN,20 IVY BROOK RD,SHELTON,CT,06484,6418,NOT AVAILABLE,7,1,8,FAIRFIELD,09001,USA,41.291989997,-73.087632372,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0507274,2010/01/29 00:00:00,IMAGERY,2010/02/25 00:00:00,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0507274,1,6,2,3,2,NOT AVAILABLE
-8147299.6039,5037066.9873,2,1202,A0500844,BRIDGEPORT INTERNATIONAL ACADEMY,285 LAFAYETTE ST STE 200,BRIDGEPORT,CT,06604,5755,NOT AVAILABLE,3,1,68,FAIRFIELD,09001,USA,41.16741635,-73.188437585,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0500844,2010/01/29 00:00:00,IMAGERY/OTHER,2010/02/23 00:00:00,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0500844,2,60,14,17,8,NOT AVAILABLE
-8197042.168,5018050.0417,3,1203,A0108054,CARMEL ACADMEY,270 LAKE AVE,GREENWICH,CT,06830,4518,NOT AVAILABLE,3,1,278,FAIRFIELD,09001,USA,41.038689564,-73.635282641,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0108054,2010/01/29 00:00:00,IMAGERY,2010/03/05 00:00:00,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0108054,1,225,3,13,53,NOT AVAILABLE
-8171503.8456,5077290.6691,4,1204,A0507283,COUNTRY KIDS CLUB,94 OLD STATE RD,BROOKFIELD,CT,06804,2524,NOT AVAILABLE,7,1,11,FAIRFIELD,09001,USA,41.438861027,-73.405867987,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0507283,2010/01/29 00:00:00,GEOCODE,2010/02/25 00:00:00,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0507283,1,10,2,3,1,NOT AVAILABLE
-8197595.5419,5017131.4369,5,1205,01612613,EAGLE HILL SCHOOL,45 GLENVILLE RD,GREENWICH,CT,06831,NOT AVAILABLE,NOT AVAILABLE,4,1,318,FAIRFIELD,09001,USA,41.032465088,-73.640253683,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01612613,2010/01/29 00:00:00,IMAGERY/OTHER,2010/02/26 00:00:00,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01612613,3,253,4,15,65,NOT AVAILABLE
-8159167.1067,5049491.2825,6,1206,A0101544,EASTON COUNTRY DAY SCHOOL,660 MOREHOUSE RD,EASTON,CT,06612,1338,NOT AVAILABLE,1,1,183,FAIRFIELD,09001,USA,41.251380804,-73.295045176,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0101544,2010/01/29 00:00:00,IMAGERY,2010/03/04 00:00:00,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0101544,3,155,2,17,28,NOT AVAILABLE
-8148757.8142,5044575.2854,7,1207,A0300688,FAIRFIELD COUNTY SDA SCHOOL,827 TRUMBULL AVE,BRIDGEPORT,CT,06606,2438,NOT AVAILABLE,1,1,44,FAIRFIELD,09001,USA,41.218170957,-73.201536911,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0300688,2010/01/29 00:00:00,IMAGERY,2010/02/26 00:00:00,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0300688,1,41,3,13,3,NOT AVAILABLE
-8157597.6808,5068701.6672,8,1208,AA001061,FRASER WOODS MONTESSORI SCHOOL,173 S MAIN ST,NEWTOWN,CT,06470,2792,NOT AVAILABLE,2,1,176,FAIRFIELD,09001,USA,41.380994068,-73.280946784,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=AA001061,2010/01/29 00:00:00,IMAGERY,2010/03/04 00:00:00,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=AA001061,1,161,2,13,15,NOT AVAILABLE
-8158145.9372,5034308.7064,9,1209,A0101480,GIANT STEPS CONNECTICUT,309 BARBERRY RD,SOUTHPORT,CT,06890,3034,NOT AVAILABLE,4,1,45,FAIRFIELD,09001,USA,41.148761036,-73.285871855,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0101480,2010/01/29 00:00:00,IMAGERY,2010/02/26 00:00:00,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0101480,3,37,3,17,8,NOT AVAILABLE
-8165875.6107,5068435.6103,10,1210,A9700803,HOUSATONIC VALLEY WALDORF SCHOOL,52 DODGINGTOWN ROAD,NEWTOWN,CT,06470,1861,NOT AVAILABLE,3,1,135,FAIRFIELD,09001,USA,41.379200731,-73.355308693,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9700803,2010/01/29 00:00:00,IMAGERY,2010/03/01 00:00:00,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9700803,1,120,2,13,15,NOT AVAILABLE
-8174019.2135,5050829.0538,11,1211,A0101492,LANDMARK PRESCHOOL,20 PORTLAND AVE,REDDING,CT,06896,3111,NOT AVAILABLE,7,1,16,FAIRFIELD,09001,USA,41.260415151,-73.428463922,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0101492,2010/01/29 00:00:00,IMAGERY,2010/03/02 00:00:00,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0101492,1,15,2,4,1,NOT AVAILABLE
-10904256.6871,3549705.0866,12,1,A1102137,ABERCORN INTERNATIONAL SCHOOL,601 RANCH ROAD 620 S,LAKEWAY,TX,78734,5305,NOT AVAILABLE,1,1,50,TRAVIS,48453,USA,30.35841995,-97.95460444,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A1102137,2014/10/23 00:00:00,IMAGERY/OTHER,2014/12/10 00:00:00,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A1102137,1,42,2,9,8,NOT AVAILABLE
-8167037.6254,5032558.2132,13,1212,A0101488,LANDMARK PRESCHOOL,11 BURR RD,WESTPORT,CT,06880,4220,NOT AVAILABLE,7,1,18,FAIRFIELD,09001,USA,41.136919023,-73.365747249,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0101488,2010/01/29 00:00:00,IMAGERY,2010/03/02 00:00:00,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0101488,1,17,2,4,1,NOT AVAILABLE
-8183867.0868,5023226.0424,14,1213,K9501352,OUR LADY OF GRACE NURSERY SCHOOL & KINDERGARTEN,635 GLENBROOK RD,STAMFORD,CT,06906,1409,NOT AVAILABLE,7,1,23,FAIRFIELD,09001,USA,41.073751198,-73.516928873,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=K9501352,2010/01/29 00:00:00,IMAGERY,2010/03/04 00:00:00,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=K9501352,1,20,2,3,3,NOT AVAILABLE
-8184745.3971,5017732.6045,15,1214,A0300699,OUR LADY STAR OF THE SEA SCHOOL,1170 SHIPPAN AVE,STAMFORD,CT,06902,NOT AVAILABLE,NOT AVAILABLE,1,1,97,FAIRFIELD,09001,USA,41.036538673,-73.524818868,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0300699,2010/01/29 00:00:00,IMAGERY,2010/03/04 00:00:00,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0300699,1,88,2,10,9,NOT AVAILABLE
-8167896.0781,5032227.1945,16,1215,A0500866,PIERREPONT SCHOOL,1 SYLVAN RD N,WESTPORT,CT,06880,NOT AVAILABLE,NOT AVAILABLE,3,1,152,FAIRFIELD,09001,USA,41.134679455,-73.373458861,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0500866,2010/01/29 00:00:00,IMAGERY,2010/03/04 00:00:00,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0500866,3,121,3,17,31,NOT AVAILABLE
-8154543.3971,5041914.7323,17,1216,A0300703,ST CATHERINE ACADEMY,760 TAHMORE DR,FAIRFIELD,CT,06825,NOT AVAILABLE,NOT AVAILABLE,4,1,19,FAIRFIELD,09001,USA,41.200190647,-73.253509686,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0300703,2010/01/29 00:00:00,IMAGERY,2010/03/04 00:00:00,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0300703,3,16,8,17,3,NOT AVAILABLE
-8149612.8721,5061157.5973,18,1217,00232053,ST JUDE SCHOOL,707 MONROE TPKE,MONROE,CT,06468,2361,NOT AVAILABLE,1,1,67,FAIRFIELD,09001,USA,41.330124649,-73.209218027,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=00232053,2010/01/29 00:00:00,IMAGERY,2010/03/04 00:00:00,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=00232053,1,57,2,13,10,NOT AVAILABLE
-8182558.9186,5054015.0121,19,1218,A0500873,ST MARY SCHOOL,183 HIGH RIDGE AVE,RIDGEFIELD,CT,06877,4496,NOT AVAILABLE,1,1,202,FAIRFIELD,09001,USA,41.281925795,-73.505177398,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0500873,2010/01/29 00:00:00,IMAGERY,2010/03/04 00:00:00,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0500873,1,182,2,13,20,NOT AVAILABLE
-8151162.0277,5047536.6183,20,1219,00231887,ST THERESA SCHOOL,55 ROSEMOND TER,TRUMBULL,CT,06611,NOT AVAILABLE,NOT AVAILABLE,1,1,216,FAIRFIELD,09001,USA,41.238178159,-73.223134328,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=00231887,2010/01/29 00:00:00,IMAGERY,2010/03/04 00:00:00,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=00231887,1,202,2,13,14,NOT AVAILABLE
-8142462.1312,5047800.1566,21,1220,A9302601,ST VINCENT'S SPECIAL NEEDS SERVICES,95 MERRITT BLVD,TRUMBULL,CT,06611,5435,NOT AVAILABLE,4,1,88,FAIRFIELD,09001,USA,41.239958366,-73.144981828,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9302601,2010/01/29 00:00:00,IMAGERY,2010/03/04 00:00:00,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9302601,3,73,2,17,15,NOT AVAILABLE
-8192918.1662,5035538.473,22,1221,K9501384,THE CANAAN RIDGE SCHOOL,2810 LONG RIDGE RD,STAMFORD,CT,06903,1122,NOT AVAILABLE,2,1,18,FAIRFIELD,09001,USA,41.157079076,-73.598236102,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=K9501384,2010/01/29 00:00:00,IMAGERY,2010/03/04 00:00:00,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=K9501384,1,15,2,9,3,NOT AVAILABLE
